# time  xt  vt  xtrue  vtrue  Et  dE/T  t/T
0.25  2.8223  -0.64944  2.0555  -2.2095  19.335  5.9728e-12  0.12462
0.251  2.8217  -0.65252  2.0491  -2.2164  19.335  6.726e-12  0.12512
0.252  2.821  -0.65561  2.0426  -2.2233  19.335  7.4942e-12  0.12562
0.253  2.8203  -0.65871  2.0362  -2.2302  19.335  8.2776e-12  0.12612
0.254  2.8197  -0.66181  2.0297  -2.2371  19.335  9.0764e-12  0.12662
0.255  2.819  -0.66491  2.0232  -2.244  19.335  9.8907e-12  0.12711
0.256  2.8184  -0.66803  2.0167  -2.2508  19.335  1.0721e-11  0.12761
0.257  2.8177  -0.67115  2.0101  -2.2576  19.335  1.1567e-11  0.12811
0.258  2.817  -0.67427  2.0036  -2.2644  19.335  1.243e-11  0.12861
0.259  2.8163  -0.6774  1.997  -2.2711  19.335  1.3309e-11  0.12911
0.26  2.8157  -0.68054  1.9904  -2.2779  19.335  1.4205e-11  0.12961
0.261  2.815  -0.68368  1.9838  -2.2846  19.335  1.5117e-11  0.13011
0.262  2.8143  -0.68684  1.9772  -2.2913  19.335  1.6047e-11  0.1306
0.263  2.8136  -0.68999  1.9705  -2.298  19.335  1.6995e-11  0.1311
0.264  2.8129  -0.69316  1.9638  -2.3046  19.335  1.796e-11  0.1316
0.265  2.8122  -0.69633  1.9571  -2.3113  19.335  1.8943e-11  0.1321
0.266  2.8115  -0.6995  1.9504  -2.3179  19.335  1.9944e-11  0.1326
0.267  2.8108  -0.70268  1.9437  -2.3245  19.335  2.0964e-11  0.1331
0.268  2.8101  -0.70587  1.9369  -2.331  19.335  2.2002e-11  0.13359
0.269  2.8094  -0.70907  1.9302  -2.3376  19.335  2.306e-11  0.13409
0.27  2.8087  -0.71227  1.9234  -2.3441  19.335  2.4136e-11  0.13459
0.271  2.808  -0.71548  1.9166  -2.3506  19.335  2.5232e-11  0.13509
0.272  2.8073  -0.7187  1.9097  -2.3571  19.335  2.6348e-11  0.13559
