i	t	sum
543	-5.93484	8.98211e-26
544	-5.93472	9.09841e-26
545	-5.9346	9.21572e-26
546	-5.93448	9.33402e-26
547	-5.93436	9.45333e-26
548	-5.93424	9.57365e-26
549	-5.93412	9.69498e-26
550	-5.934	9.81732e-26
551	-5.93388	9.94067e-26
552	-5.93376	1.0065e-25
553	-5.93364	1.01904e-25
554	-5.93352	1.03168e-25
555	-5.9334	1.04443e-25
556	-5.93328	1.05727e-25
557	-5.93316	1.07022e-25
558	-5.93304	1.08328e-25
559	-5.93292	1.09644e-25
560	-5.9328	1.1097e-25
561	-5.93268	1.12306e-25
562	-5.93256	1.13654e-25
563	-5.93244	1.15011e-25
564	-5.93232	1.1638e-25
565	-5.9322	1.17759e-25
566	-5.93208	1.19148e-25
567	-5.93196	1.20549e-25
568	-5.93184	1.2196e-25
569	-5.93172	1.23382e-25
570	-5.9316	1.24815e-25
571	-5.93148	1.26259e-25
572	-5.93136	1.27714e-25
573	-5.93124	1.29179e-25
574	-5.93112	1.30656e-25
575	-5.931	1.32144e-25
576	-5.93088	1.33643e-25
577	-5.93076	1.35154e-25
578	-5.93064	1.36675e-25
579	-5.93052	1.38208e-25
580	-5.9304	1.39752e-25
581	-5.93028	1.41308e-25
582	-5.93016	1.42875e-25
583	-5.93004	1.44453e-25
584	-5.92992	1.46043e-25
585	-5.9298	1.47644e-25
586	-5.92968	1.49257e-25
587	-5.92956	1.50881e-25
588	-5.92944	1.52517e-25
589	-5.92932	1.54164e-25
590	-5.9292	1.55824e-25
591	-5.92908	1.57494e-25
592	-5.92896	1.59177e-25
593	-5.92884	1.60871e-25
594	-5.92872	1.62576e-25
595	-5.9286	1.64293e-25
596	-5.92848	1.66022e-25
597	-5.92836	1.67762e-25
598	-5.92824	1.69514e-25
599	-5.92812	1.71278e-25
600	-5.928	1.73053e-25
601	-5.92788	1.74839e-25
602	-5.92776	1.76637e-25
603	-5.92764	1.78446e-25
604	-5.92752	1.80266e-25
605	-5.9274	1.82098e-25
606	-5.92728	1.83941e-25
607	-5.92716	1.85794e-25
608	-5.92704	1.87659e-25
609	-5.92692	1.89535e-25
610	-5.9268	1.91421e-25
611	-5.92668	1.93318e-25
612	-5.92656	1.95225e-25
613	-5.92644	1.97143e-25
614	-5.92632	1.99071e-25
615	-5.9262	2.01009e-25
616	-5.92608	2.02956e-25
617	-5.92596	2.04913e-25
618	-5.92584	2.0688e-25
619	-5.92572	2.08856e-25
620	-5.9256	2.1084e-25
621	-5.92548	2.12834e-25
622	-5.92536	2.14835e-25
623	-5.92524	2.16845e-25
624	-5.92512	2.18863e-25
625	-5.925	2.20888e-25
626	-5.92488	2.22921e-25
627	-5.92476	2.2496e-25
628	-5.92464	2.27006e-25
629	-5.92452	2.29058e-25
630	-5.9244	2.31116e-25
631	-5.92428	2.3318e-25
632	-5.92416	2.35248e-25
633	-5.92404	2.3732e-25
634	-5.92392	2.39397e-25
635	-5.9238	2.41477e-25
636	-5.92368	2.43561e-25
637	-5.92356	2.45646e-25
638	-5.92344	2.47734e-25
639	-5.92332	2.49823e-25
640	-5.9232	2.51914e-25
641	-5.92308	2.54004e-25
642	-5.92296	2.56094e-25
643	-5.92284	2.58183e-25
644	-5.92272	2.60271e-25
645	-5.9226	2.62356e-25
646	-5.92248	2.64438e-25
647	-5.92236	2.66517e-25
648	-5.92224	2.68591e-25
649	-5.92212	2.7066e-25
650	-5.922	2.72723e-25
651	-5.92188	2.74779e-25
652	-5.92176	2.76828e-25
653	-5.92164	2.78869e-25
654	-5.92152	2.809e-25
655	-5.9214	2.82922e-25
656	-5.92128	2.84932e-25
657	-5.92116	2.86931e-25
658	-5.92104	2.88917e-25
659	-5.92092	2.90889e-25
660	-5.9208	2.92847e-25
661	-5.92068	2.94789e-25
662	-5.92056	2.96716e-25
663	-5.92044	2.98624e-25
664	-5.92032	3.00515e-25
665	-5.9202	3.02386e-25
666	-5.92008	3.04236e-25
667	-5.91996	3.06066e-25
668	-5.91984	3.07873e-25
669	-5.91972	3.09657e-25
670	-5.9196	3.11416e-25
671	-5.91948	3.1315e-25
672	-5.91936	3.14858e-25
673	-5.91924	3.16539e-25
674	-5.91912	3.18192e-25
