i	t	sum
635	-5.9238	9.65909e-23
636	-5.92368	9.74242e-23
637	-5.92356	9.82585e-23
638	-5.92344	9.90937e-23
639	-5.92332	9.99294e-23
640	-5.9232	1.00765e-22
641	-5.92308	1.01602e-22
642	-5.92296	1.02438e-22
643	-5.92284	1.03273e-22
644	-5.92272	1.04108e-22
645	-5.9226	1.04942e-22
646	-5.92248	1.05775e-22
647	-5.92236	1.06607e-22
648	-5.92224	1.07436e-22
649	-5.92212	1.08264e-22
650	-5.922	1.09089e-22
651	-5.92188	1.09912e-22
652	-5.92176	1.10731e-22
653	-5.92164	1.11548e-22
654	-5.92152	1.1236e-22
655	-5.9214	1.13169e-22
656	-5.92128	1.13973e-22
657	-5.92116	1.14772e-22
658	-5.92104	1.15567e-22
659	-5.92092	1.16356e-22
660	-5.9208	1.17139e-22
661	-5.92068	1.17916e-22
662	-5.92056	1.18686e-22
663	-5.92044	1.1945e-22
664	-5.92032	1.20206e-22
665	-5.9202	1.20954e-22
666	-5.92008	1.21694e-22
667	-5.91996	1.22426e-22
668	-5.91984	1.23149e-22
669	-5.91972	1.23863e-22
670	-5.9196	1.24566e-22
671	-5.91948	1.2526e-22
672	-5.91936	1.25943e-22
673	-5.91924	1.26616e-22
674	-5.91912	1.27277e-22
675	-5.919	1.27926e-22
676	-5.91888	1.28563e-22
677	-5.91876	1.29188e-22
678	-5.91864	1.298e-22
679	-5.91852	1.30399e-22
680	-5.9184	1.30984e-22
681	-5.91828	1.31555e-22
682	-5.91816	1.32113e-22
683	-5.91804	1.32655e-22
684	-5.91792	1.33183e-22
685	-5.9178	1.33696e-22
686	-5.91768	1.34193e-22
687	-5.91756	1.34674e-22
688	-5.91744	1.3514e-22
689	-5.91732	1.35589e-22
690	-5.9172	1.36022e-22
691	-5.91708	1.36438e-22
692	-5.91696	1.36838e-22
693	-5.91684	1.37221e-22
694	-5.91672	1.37587e-22
695	-5.9166	1.37935e-22
696	-5.91648	1.38267e-22
697	-5.91636	1.38582e-22
698	-5.91624	1.38879e-22
699	-5.91612	1.3916e-22
700	-5.916	1.39423e-22
701	-5.91588	1.3967e-22
702	-5.91576	1.399e-22
703	-5.91564	1.40114e-22
704	-5.91552	1.40311e-22
705	-5.9154	1.40492e-22
706	-5.91528	1.40658e-22
707	-5.91516	1.40809e-22
708	-5.91504	1.40944e-22
709	-5.91492	1.41066e-22
710	-5.9148	1.41173e-22
711	-5.91468	1.41268e-22
712	-5.91456	1.4135e-22
713	-5.91444	1.41419e-22
714	-5.91432	1.41478e-22
715	-5.9142	1.41527e-22
716	-5.91408	1.41565e-22
717	-5.91396	1.41596e-22
718	-5.91384	1.41618e-22
719	-5.91372	1.41634e-22
720	-5.9136	1.41644e-22
721	-5.91348	1.4165e-22
